id_plan,id_tipo,matrice,data_effettiva,campione,operatore_effettivo,parametro,udm,valore,incertezza,argomento
1,3,"terreno",2024-04-29,"7598/24",Bazzano,pirene,mg/kg,1.4717,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,benzo(a)antracene,mg/kg,0.5155,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,crisene,mg/kg,0.2966,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,benzo(b+j)fluorantene,mg/kg,0.3025,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,benzo(k)fluorantene,mg/kg,0.1029,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,benzo(a)pirene,mg/kg,0.2242,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,"indeno(1,2,3-c,d)pirene",mg/kg,0.1148,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,"dibenzo(a,h)antracene",mg/kg,0.045,,QC
1,3,"terreno",2024-04-29,"7598/24",Bazzano,"benzo(g,h,i)perilene",mg/kg,0.1021,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,pirene,mg/kg,1.4907,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,benzo(a)antracene,mg/kg,0.5155,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,crisene,mg/kg,0.30965,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,benzo(b+j)fluorantene,mg/kg,0.3071,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,benzo(k)fluorantene,mg/kg,0.10165,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,benzo(a)pirene,mg/kg,0.2149,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,"indeno(1,2,3-c,d)pirene",mg/kg,0.1169,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,"dibenzo(a,h)antracene",mg/kg,0.04465,,QC
2,3,"terreno",2024-04-29,"759700/24",Bazzano,"benzo(g,h,i)perilene",mg/kg,0.0986,,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,pirene,μg/kg,1490.7,894.42,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,benzo(a)antracene,μg/kg,515.5,309.3,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,crisene,μg/kg,309.65,185.79,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,benzo(b+j)fluorantene,μg/kg,307.1,184.26,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,benzo(k)fluorantene,μg/kg,101.65,60.99,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,benzo(a)pirene,μg/kg,214.9,128.94,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,"indeno(1,2,3-c,d)pirene",μg/kg,116.9,70.14,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,"dibenzo(a,h)antracene",μg/kg,44.65,26.79,QC
3,3,"terreno",2024-04-29,"759701/24",Bazzano,"benzo(g,h,i)perilene",μg/kg,98.6,59.16,QC
